Year,Tm,Attendance,AttendG,BatAge,PAge,BPF,PPF,#HOF,#A-S,#a-tA-S,Est. Payroll,TmName,TmColor,WSWin
2019,ARI,"2,135,510","26,364",28.7,28.6,101,101,0,2,7,"$124,016,266.00",Arizona Diamondbacks,#A71930,FALSE
2018,ARI,"2,242,695","27,688",29.2,29.6,105,104,0,3,11,"$134,850,600.00",Arizona Diamondbacks,#A71930,FALSE
2017,ARI,"2,134,375","26,350",28.3,28.7,108,108,0,4,10,"$106,580,200.00",Arizona Diamondbacks,#A71930,FALSE
2016,ARI,"2,036,216","25,138",26.7,26.4,107,107,0,1,12,"$78,399,500.00",Arizona Diamondbacks,#A71930,FALSE
2015,ARI,"2,080,145","25,681",26.6,27.1,105,105,0,2,8,"$64,434,000.00",Arizona Diamondbacks,#A71930,FALSE
2014,ARI,"2,073,730","25,602",27.6,28,102,102,0,2,13,"$89,926,500.00",Arizona Diamondbacks,#A71930,FALSE
2013,ARI,"2,134,895","26,357",28.1,27.6,102,103,0,2,11,"$80,060,500.00",Arizona Diamondbacks,#A71930,FALSE
2012,ARI,"2,177,617","26,884",28.3,27.4,103,103,0,1,13,"$67,069,833.00",Arizona Diamondbacks,#A71930,FALSE
2011,ARI,"2,105,432","25,993",28.2,27.4,103,103,0,2,12,"$54,823,166.00",Arizona Diamondbacks,#A71930,FALSE
2010,ARI,"2,056,697","25,391",26.8,27.9,105,105,0,1,8,"$61,368,166.00",Arizona Diamondbacks,#A71930,FALSE
2009,ARI,"2,128,765","26,281",26.5,27.7,105,106,0,2,10,"$75,920,666.00",Arizona Diamondbacks,#A71930,FALSE
2008,ARI,"2,509,924","30,987",26.7,29.4,107,107,1,2,11,"$66,202,712.00",Arizona Diamondbacks,#A71930,FALSE
2007,ARI,"2,325,249","28,707",26.6,28.2,107,107,1,3,13,"$52,067,546.00",Arizona Diamondbacks,#A71930,FALSE
2006,ARI,"2,091,685","25,823",29.7,28.8,105,105,0,1,14,"$59,984,226.00",Arizona Diamondbacks,#A71930,FALSE
2005,ARI,"2,059,424","25,425",30.3,27.4,103,104,0,1,10,"$62,629,166.00",Arizona Diamondbacks,#A71930,FALSE
2004,ARI,"2,519,560","31,106",28.9,29.3,105,106,2,1,10,"$69,780,750.00",Arizona Diamondbacks,#A71930,FALSE
2003,ARI,"2,805,542","34,636",30.6,29.2,108,109,1,1,17,"$80,657,000.00",Arizona Diamondbacks,#A71930,FALSE
2002,ARI,"3,198,977","39,494",31.7,31.7,111,110,1,6,14,"$102,819,999.00",Arizona Diamondbacks,#A71930,FALSE
2001,ARI,"2,736,451","33,783",31.9,30.9,108,107,1,3,14,"$85,082,999.00",Arizona Diamondbacks,#A71930,TRUE
2000,ARI,"2,942,251","36,324",30.8,31.6,104,103,1,2,13,"$81,027,833.00",Arizona Diamondbacks,#A71930,FALSE
1999,ARI,"3,019,654","37,280",30,30.6,101,100,1,4,14,"$68,703,999.00",Arizona Diamondbacks,#A71930,FALSE
1998,ARI,"3,610,290","44,571",27.8,27.4,100,99,0,1,7,"$32,347,000.00",Arizona Diamondbacks,#A71930,FALSE
2019,ATL,"2,655,100","32,779",28,27.5,105,103,0,3,17,"$133,186,667.00",Atlanta Braves,#CE1141,FALSE
2018,ATL,"2,555,781","31,553",27.4,27.7,101,101,0,4,13,"$115,848,667.00",Atlanta Braves,#CE1141,FALSE
2017,ATL,"2,505,252","30,929",28.6,29.4,100,100,0,1,12,"$119,705,250.00",Atlanta Braves,#CE1141,FALSE
2016,ATL,"2,020,914","24,950",28.9,26.4,98,99,0,1,12,"$74,999,750.00",Atlanta Braves,#CE1141,FALSE
2015,ATL,"2,001,392","24,709",28.8,26.6,97,98,0,1,13,"$104,037,500.00",Atlanta Braves,#CE1141,FALSE
2014,ATL,"2,354,305","29,065",26.8,27.3,98,97,0,3,11,"$108,081,500.00",Atlanta Braves,#CE1141,FALSE
2013,ATL,"2,548,679","31,465",26.8,27.2,101,100,0,3,12,"$95,618,750.00",Atlanta Braves,#CE1141,FALSE
2012,ATL,"2,420,171","29,879",28.5,27.6,102,101,1,4,16,"$86,208,000.00",Atlanta Braves,#CE1141,FALSE
2011,ATL,"2,372,940","29,296",28.9,28.4,101,100,1,5,18,"$93,855,132.00",Atlanta Braves,#CE1141,FALSE
2010,ATL,"2,510,119","30,989",28.6,30.1,98,97,1,6,19,"$84,423,666.00",Atlanta Braves,#CE1141,FALSE
2009,ATL,"2,373,631","29,304",28.8,28.9,99,98,1,1,11,"$99,593,166.00",Atlanta Braves,#CE1141,FALSE
2008,ATL,"2,532,834","31,270",27.2,28.6,98,97,3,2,12,"$102,365,683.00",Atlanta Braves,#CE1141,FALSE
2007,ATL,"2,745,207","33,891",27.7,29.4,98,98,2,2,12,"$87,290,833.00",Atlanta Braves,#CE1141,FALSE
2006,ATL,"2,550,524","31,488",27.5,29.4,100,99,2,3,12,"$90,156,876.00",Atlanta Braves,#CE1141,FALSE
2005,ATL,"2,521,167","31,126",28.1,28.6,101,100,2,2,13,"$86,457,302.00",Atlanta Braves,#CE1141,FALSE
2004,ATL,"2,327,565","28,735",28.9,30.1,101,99,2,1,11,"$90,182,500.00",Atlanta Braves,#CE1141,FALSE
2003,ATL,"2,401,084","29,643",30.3,31.1,101,100,3,7,17,"$106,243,667.00",Atlanta Braves,#CE1141,FALSE
2002,ATL,"2,603,484","32,142",30.6,31.1,102,101,4,4,15,"$93,470,367.00",Atlanta Braves,#CE1141,FALSE
2001,ATL,"2,823,530","34,858",30.3,31.1,103,102,4,2,17,"$91,936,166.00",Atlanta Braves,#CE1141,FALSE
2000,ATL,"3,234,304","39,930",30.8,31.4,100,99,3,5,19,"$84,737,836.00",Atlanta Braves,#CE1141,FALSE
1999,ATL,"3,284,897","40,554",29.6,28.6,99,98,4,2,18,"$73,341,000.00",Atlanta Braves,#CE1141,FALSE
1998,ATL,"3,360,860","41,492",28.9,29.5,100,98,4,6,17,"$61,186,000.00",Atlanta Braves,#CE1141,FALSE
1997,ATL,"3,464,488","42,771",27.9,28.5,102,99,4,7,14,"$52,278,500.00",Atlanta Braves,#CE1141,FALSE
1996,ATL,"2,901,242","35,818",27.9,27.9,105,104,4,6,17,"$49,698,500.00",Atlanta Braves,#CE1141,FALSE
1995,ATL,"2,561,831","35,581",27.9,27.4,103,101,4,2,16,"$47,235,445.00",Atlanta Braves,#CE1141,TRUE
1994,ATL,"2,539,240","46,168",28.2,27.4,102,100,3,3,15,"$49,383,513.00",Atlanta Braves,#CE1141,FALSE
1993,ATL,"3,884,720","47,960",28.8,26.8,100,99,4,5,17,"$41,641,417.00",Atlanta Braves,#CE1141,FALSE
1992,ATL,"3,077,400","37,993",28.4,27.5,107,105,2,4,16,"$34,625,333.00",Atlanta Braves,#CE1141,FALSE
1991,ATL,"2,140,217","26,422",28,27.1,106,106,2,1,14,"$18,403,500.00",Atlanta Braves,#CE1141,FALSE
1990,ATL,"980,129","12,100",27.4,25.8,105,106,2,1,13,"$15,065,501.00",Atlanta Braves,#CE1141,FALSE
1989,ATL,"984,930","12,467",28.1,25.4,102,103,2,1,12,"$11,180,334.00",Atlanta Braves,#CE1141,FALSE
1988,ATL,"848,089","10,735",28.9,27.4,104,106,4,1,14,"$13,065,674.00",Atlanta Braves,#CE1141,FALSE
1987,ATL,"1,217,402","15,030",29.6,29.2,104,106,3,2,14,"$17,444,560.00",Atlanta Braves,#CE1141,FALSE
1986,ATL,"1,387,181","17,126",29.7,28.9,105,106,2,1,14,"$17,102,786.00",Atlanta Braves,#CE1141,FALSE
1985,ATL,"1,350,137","16,668",28.1,28.8,105,106,1,1,12,"$14,807,000.00",Atlanta Braves,#CE1141,FALSE
1984,ATL,"1,724,892","21,295",27.8,28.4,107,107,0,3,13,,Atlanta Braves,#CE1141,FALSE
1983,ATL,"2,119,935","26,499",27.7,29.2,108,107,1,4,18,"$5,448,233.00",Atlanta Braves,#CE1141,FALSE
1982,ATL,"1,801,985","22,247",26.9,29.4,104,104,1,3,15,"$3,565,166.00",Atlanta Braves,#CE1141,FALSE
1981,ATL,"535,418","10,708",26.5,31.5,103,103,2,1,15,"$5,571,200.00",Atlanta Braves,#CE1141,FALSE
1980,ATL,"1,048,411","13,105",26.8,29.6,103,103,1,1,11,,Atlanta Braves,#CE1141,FALSE
1979,ATL,"769,465","9,740",26.4,28.9,107,108,1,1,8,,Atlanta Braves,#CE1141,FALSE
1978,ATL,"904,494","11,167",25.6,28.2,112,114,1,3,12,,Atlanta Braves,#CE1141,FALSE
1977,ATL,"872,464","10,771",25.8,28.4,112,114,1,1,13,,Atlanta Braves,#CE1141,FALSE
1976,ATL,"818,179","10,101",27.8,29.1,106,108,1,2,13,,Atlanta Braves,#CE1141,FALSE
1975,ATL,"534,672","6,683",27.2,29.5,103,104,1,1,10,,Atlanta Braves,#CE1141,FALSE
1974,ATL,"981,085","12,112",28.1,29.5,104,104,2,3,10,,Atlanta Braves,#CE1141,FALSE
1973,ATL,"800,655","9,885",28,28.2,108,108,2,3,13,,Atlanta Braves,#CE1141,FALSE
1972,ATL,"752,973","9,654",27.2,28.2,109,109,3,1,13,,Atlanta Braves,#CE1141,FALSE
1971,ATL,"1,006,320","12,272",27.2,28.5,106,107,5,2,11,,Atlanta Braves,#CE1141,FALSE
1970,ATL,"1,078,848","13,319",29.5,28.7,105,105,4,4,13,,Atlanta Braves,#CE1141,FALSE
1969,ATL,"1,458,320","18,004",29.1,27.5,101,101,4,3,14,,Atlanta Braves,#CE1141,FALSE
2019,BAL,"1,307,807","16,146",26.5,27.3,99,102,0,1,3,"$82,696,100.00",Baltimore Orioles,#DF4601,FALSE
2018,BAL,"1,564,192","19,311",28.4,27.1,98,100,0,1,11,"$141,555,833.00",Baltimore Orioles,#DF4601,FALSE
2017,BAL,"2,028,424","25,042",28.6,28.2,97,99,0,1,14,"$161,621,633.00",Baltimore Orioles,#DF4601,FALSE
2016,BAL,"2,172,344","26,819",28.5,27.9,102,102,0,5,16,"$153,744,833.00",Baltimore Orioles,#DF4601,FALSE
2015,BAL,"2,281,202","29,246",27.9,28.3,102,102,0,4,12,"$112,989,833.00",Baltimore Orioles,#DF4601,FALSE
2014,BAL,"2,464,473","30,426",28.3,27.7,103,103,0,3,16,"$109,097,500.00",Baltimore Orioles,#DF4601,FALSE
2013,BAL,"2,357,561","29,106",27.8,27.9,103,102,0,5,17,"$100,832,000.00",Baltimore Orioles,#DF4601,FALSE
2012,BAL,"2,102,240","25,954",28,27.6,102,103,1,3,16,"$77,949,000.00",Baltimore Orioles,#DF4601,FALSE
2011,BAL,"1,755,461","21,672",28.3,28.2,102,103,1,1,15,"$88,299,038.00",Baltimore Orioles,#DF4601,FALSE
2010,BAL,"1,733,019","21,395",28.6,28.4,99,100,0,1,14,"$81,612,500.00",Baltimore Orioles,#DF4601,FALSE
2009,BAL,"1,907,163","23,545",28.7,28.1,101,102,0,1,14,"$69,904,166.00",Baltimore Orioles,#DF4601,FALSE
2008,BAL,"1,950,075","24,376",30.1,27.9,101,102,0,1,9,"$67,196,246.00",Baltimore Orioles,#DF4601,FALSE
2007,BAL,"2,164,822","26,726",30.4,29,101,102,0,1,9,"$93,174,808.00",Baltimore Orioles,#DF4601,FALSE
2006,BAL,"2,153,139","26,582",30.4,27.9,99,99,0,1,9,"$72,585,582.00",Baltimore Orioles,#DF4601,FALSE
2005,BAL,"2,624,740","32,404",31.5,28.3,99,99,0,4,9,"$73,914,333.00",Baltimore Orioles,#DF4601,FALSE
2004,BAL,"2,744,018","33,877",30.5,27.4,98,98,0,1,8,"$51,623,333.00",Baltimore Orioles,#DF4601,FALSE
